"","X","Provincia","Estadillo","nArbol","Tipo","OrdenIFActual","bearing","distance","species","dbh_1","dbh_2","Calidad","Forma","height","ParEsp","PlotID0","INVENTORY_ID","PLOT_ID_short","PLOT_ID","TREE_ID_IFN2","TREE_ID","dbh","expan","g","slenderness","dead"
"22484",85700,8,7,8,NA,8,114,"7.9",21,277,268,2,2,10.5,NA,8.7,"IFN2","8_7","8_7","8_7_8","IFN2_8_7_8",27.25,14.1471060526129,583.207223707818,38.5321100917431,0
"22485",85701,8,7,9,NA,9,122,"2.5",21,202,205,2,2,8,NA,8.7,"IFN2","8_7","8_7","8_7_9","IFN2_8_7_9",20.35,31.8309886183791,325.25105092156,39.3120393120393,0
"22486",85702,8,7,10,NA,10,129,"15.8",21,275,285,2,2,10.5,NA,8.7,"IFN2","8_7","8_7","8_7_10","IFN2_8_7_10",28,14.1471060526129,615.752160103599,37.5,0
"22487",85703,8,7,11,NA,11,141,"8.9",21,194,198,2,2,10,NA,8.7,"IFN2","8_7","8_7","8_7_11","IFN2_8_7_11",19.6,31.8309886183791,301.718558450764,51.0204081632653,0
"22488",85704,8,7,12,NA,12,153,"8.3",21,222,218,2,2,11.5,NA,8.7,"IFN2","8_7","8_7","8_7_12","IFN2_8_7_12",22,31.8309886183791,380.132711084365,52.2727272727273,0
"22489",85705,8,7,13,NA,13,155,"8.8",21,153,156,2,2,9.5,NA,8.7,"IFN2","8_7","8_7","8_7_13","IFN2_8_7_13",15.45,31.8309886183791,187.476505098379,61.4886731391586,0
"22490",85706,8,7,14,NA,14,160,"13.3",21,374,347,2,2,14.5,NA,8.7,"IFN2","8_7","8_7","8_7_14","IFN2_8_7_14",36.05,14.1471060526129,1020.70541664673,40.2219140083218,0
"22491",85707,8,7,15,NA,15,195,"13.2",21,303,310,2,2,13.5,1,8.7,"IFN2","8_7","8_7","8_7_15","IFN2_8_7_15",30.65,14.1471060526129,737.820706154239,44.0456769983687,0
"22492",85708,8,7,16,NA,16,196,"6.7",21,260,267,2,2,11,NA,8.7,"IFN2","8_7","8_7","8_7_16","IFN2_8_7_16",26.35,14.1471060526129,545.319616305525,41.7457305502846,0
"22493",85709,8,7,17,NA,17,197,"6.1",21,193,193,2,2,10,NA,8.7,"IFN2","8_7","8_7","8_7_17","IFN2_8_7_17",19.3,31.8309886183791,292.552961883916,51.8134715025907,0
"22494",85710,8,7,18,NA,18,198,"7.0",21,202,174,2,2,11,NA,8.7,"IFN2","8_7","8_7","8_7_18","IFN2_8_7_18",18.8,31.8309886183791,277.591126871194,58.5106382978723,0
"22495",85711,8,7,19,4,19,223,"6.4",21,193,178,2,2,11.5,NA,8.7,"IFN2","8_7","8_7","8_7_19","IFN2_8_7_19",18.55,31.8309886183791,270.25747152047,61.9946091644205,0
"22496",85712,8,7,20,NA,20,229,"11.3",21,348,323,2,2,13.5,NA,8.7,"IFN2","8_7","8_7","8_7_20","IFN2_8_7_20",33.55,14.1471060526129,884.046136215576,40.2384500745157,0
"22497",85713,8,7,21,NA,21,240,"16.5",21,343,325,2,2,11.5,1,8.7,"IFN2","8_7","8_7","8_7_21","IFN2_8_7_21",33.4,14.1471060526129,876.158775159657,34.4311377245509,0
"22498",85714,8,7,22,NA,22,274,"10.1",21,220,208,2,2,10.5,NA,8.7,"IFN2","8_7","8_7","8_7_22","IFN2_8_7_22",21.4,31.8309886183791,359.680942909495,49.0654205607477,0
"22499",85715,8,7,23,NA,23,283,"13.2",21,230,232,2,2,12.5,NA,8.7,"IFN2","8_7","8_7","8_7_23","IFN2_8_7_23",23.1,14.1471060526129,419.096313970512,54.1125541125541,0
"22500",85716,8,7,24,NA,24,284,"15.9",21,265,251,2,2,12.5,NA,8.7,"IFN2","8_7","8_7","8_7_24","IFN2_8_7_24",25.8,14.1471060526129,522.792433483878,48.4496124031008,0
"22501",85717,8,7,25,NA,25,285,"10.6",21,248,252,2,2,12.5,NA,8.7,"IFN2","8_7","8_7","8_7_25","IFN2_8_7_25",25,14.1471060526129,490.873852123405,50,0
"22502",85718,8,7,26,NA,26,294,"10.0",21,151,151,2,2,11,NA,8.7,"IFN2","8_7","8_7","8_7_26","IFN2_8_7_26",15.1,31.8309886183791,179.078635236252,72.8476821192053,0
"22503",85719,8,7,27,NA,27,297,"7.5",21,165,162,2,2,9.5,NA,8.7,"IFN2","8_7","8_7","8_7_27","IFN2_8_7_27",16.35,31.8309886183791,209.954600534814,58.1039755351682,0
"22504",85720,8,7,28,NA,28,303,"10.5",21,200,188,2,2,11,NA,8.7,"IFN2","8_7","8_7","8_7_28","IFN2_8_7_28",19.4,31.8309886183791,295.592452776264,56.7010309278351,0
"22505",85721,8,7,29,NA,29,367,"2.5",21,125,120,2,2,6,NA,8.7,"IFN2","8_7","8_7","8_7_29","IFN2_8_7_29",12.25,127.323954473516,117.85881189483,48.9795918367347,0
"22506",85722,8,7,30,2,30,367,"16.5",43,573,573,3,5,8,2,8.7,"IFN2","8_7","8_7","8_7_30","IFN2_8_7_30",57.3,5.09295817894065,2578.68993590121,13.9616055846422,0
"22507",85723,8,7,31,NA,31,368,"16.5",43,523,477,3,5,8,2,8.7,"IFN2","8_7","8_7","8_7_31","IFN2_8_7_31",50,5.09295817894065,1963.49540849362,16,0
"22508",85724,8,7,32,NA,32,382,"21.6",43,623,512,2,5,8.5,NA,8.7,"IFN2","8_7","8_7","8_7_32","IFN2_8_7_32",56.75,5.09295817894065,2529.42387260669,14.9779735682819,0
"22509",85725,8,7,33,NA,33,390,"13.2",21,288,286,2,2,11,NA,8.7,"IFN2","8_7","8_7","8_7_33","IFN2_8_7_33",28.7,14.1471060526129,646.924613208844,38.3275261324042,0
"22510",85726,8,7,34,NA,34,391,"24.9",43,650,630,2,5,8,NA,8.7,"IFN2","8_7","8_7","8_7_34","IFN2_8_7_34",64,5.09295817894065,3216.99087727595,12.5,0
"22511",85727,8,7,35,NA,35,392,"8.7",21,180,188,2,2,10.5,2,8.7,"IFN2","8_7","8_7","8_7_35","IFN2_8_7_35",18.4,31.8309886183791,265.90440219984,57.0652173913044,0
"22512",85728,8,7,36,NA,36,392,"9.1",21,228,241,2,2,10.5,2,8.7,"IFN2","8_7","8_7","8_7_36","IFN2_8_7_36",23.45,14.1471060526129,431.892413547665,44.7761194029851,0
"22513",91964,8,433,1,1,1,5,"4.9",43,139,124,2,3,7.5,NA,8.433,"IFN2","8_433","8_433","8_433_1","IFN2_8_433_1",13.15,31.8309886183791,135.813013910095,57.0342205323194,0
